text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
我突然渴望他认识我,6.0,6.0,0.816,2.449
快乐的待在现友同温层,7.0,6.667,0.816,0.471
然后这一年多才突然感觉到自己真的在玩同人了,5.0,4.667,0.0,1.7
之前到底在干嘛,3.667,6.667,0.943,1.247
真的很难以置信,5.0,6.75,0.0,0.433
结束哭因为那种离别的感觉太真实了,3.667,7.333,0.943,0.471
一幅画作被美国高阶鉴价师鉴价一千三百万美元,6.0,6.0,0.894,1.871
就是以前曾经那么喜欢的东西,4.0,3.0,0.0,0.0
为什么自己现在可以这么毅然的舍弃,4.333,4.0,0.471,1.414
台湾无法容忍这种和秃头韩一样的废物,2.75,7.25,0.433,0.433
竟然还看得到有人说麦可贝当年把福克斯踢掉是正确的选择,3.25,7.0,0.433,0.0
感性凌驾于理性之上时,4.6,5.25,0.49,1.09
胸不平何以平天下,5.5,4.75,0.5,1.09
柴门反关无俗客,5.667,4.0,0.943,2.449
碧云引风吹不断,5.5,4.5,0.5,0.5
走向远方是为了让生命更辉煌,7.6,5.6,0.49,1.356
不论是孤独地走著还是结伴同行,5.0,2.333,0.0,1.886
让每一个脚印都坚实而有力量,6.75,4.75,0.433,1.09
又见平成最后的这种傻逼句型,3.0,5.0,0.0,0.707
要是平成最后的聚会我还能理解一二,4.5,4.4,0.5,1.625
将自然风景区作为人骄傲的一部分同理,6.5,5.5,0.5,1.5
我倒希望你是仙人,5.0,6.0,0.0,0.0
你就别错过我们的个人彩妆课,4.0,4.333,0.816,0.471
欢迎报名学习更多技巧,6.75,4.25,0.433,0.433
男儿何不带吴钩,5.0,4.0,0.0,0.0
女孩紧紧抓住男子的衣服,5.0,3.667,0.0,1.247
男子的鲜红双眼流露出不满,3.0,6.667,0.0,0.471
然而他也无可奈何,4.0,3.75,0.0,1.299
我不得不再次谈论许章润教授,4.5,4.5,0.5,3.5
如果你还如此平静,5.0,2.75,0.707,1.299
不愿做奴隶的人们,5.5,6.333,0.5,0.943
然后我下了公交进了地铁就一直觉得眼睛疼,3.667,5.0,0.471,0.0
你就该有多少坚强,6.0,6.0,0.0,0.816
你就会有多少光芒,6.0,4.0,0.0,2.098
一点不夸张的说,5.667,6.667,0.471,2.055
每一笔自己都非常嫌恶,2.5,7.0,0.5,0.816
大小不一奇形怪状,5.0,3.0,0.0,1.581
上门顾客逐年减少,3.25,4.25,0.433,0.829
武吉知马一带拥有近40年历史的老字号陈唱车行展销室,5.333,3.333,0.471,1.247
5000母音乐家,5.333,2.667,0.471,1.247
醉汉出口辱骂女郎,2.25,4.333,1.299,0.471
女郎不甘示弱回呛,3.0,4.667,0.816,0.943
要是伊斯兰教不是平和的宗教那这世界可了得,4.0,7.667,1.581,0.471
别把部分人的不当行为怪罪于宗教上了,4.0,7.0,0.0,0.0
因为恶意的诞生就是为了伤人,2.333,5.333,0.471,2.055
但还是会受皮肉伤,4.0,3.25,0.0,1.785
只许州官放火不许百姓点灯,2.0,6.5,1.0,0.5
当今更是只许州官杀人不许百姓?鸡,3.0,5.0,0.816,2.16
冰箱等家具损毁后,3.0,3.667,0.0,1.7
搭豪华私召车却没钱还,3.25,5.75,0.433,0.829
私召车司机徒步追逐将近1公里,4.5,6.667,1.118,0.471
居民斥环境脏乱,3.0,6.0,0.0,0.0
却几乎全无用处,2.667,6.667,0.471,0.943
身后的恩惠要留流得久,6.667,5.333,0.471,1.247
为了抄近路践踏草坪,4.0,5.667,0.0,0.471
峨眉武术的刚柔并济,6.0,3.0,0.0,1.225
江湖中的人心人性才得以愈发清晰,4.667,7.0,0.471,0.816
习武之人苦练十年,5.667,2.0,0.471,0.816
冰火问我怎么区分知己,5.0,4.4,0.0,1.625
有了喜事和人分享,7.0,5.667,0.707,0.943
心里却充满嫉妒的是熟人,2.667,7.0,0.471,0.816
不安分的小舌头,5.0,5.667,0.0,0.471
因为他们的自卑群聚太重,3.5,5.5,0.5,0.5
讲没几句就觉得别人看不起他们,3.0,6.6,0.0,1.744
最后又社会经验万岁,3.667,7.333,0.943,0.471
不要让他觉得你是,5.0,4.0,0.0,2.53
最讨厌每年过年亲戚间虚伪的拉拉扯扯,2.333,7.333,0.943,0.943
那么珍惜每一块钱的外婆一出手就是一千块,6.0,4.75,0.894,0.829
我无论如何受之有愧,3.5,5.5,0.5,2.5
给钱也的确是她唯一的表达方式了,4.5,3.4,0.5,1.625
大部分有良知的还是通过不发声来做到实事求是或者至少不歪曲事实,6.5,5.5,0.5,0.5
毕竟国内人身不算自由,3.0,5.0,0.0,0.816
这样的言论会不会被带走,4.75,4.5,0.433,0.5
文说要轰炸捷运一样,3.4,5.8,0.49,1.6
美国升级关税举措不仅将损害美中两国经济,3.0,4.5,0.0,0.5
德国机械装置制造业联合会外贸事务负责人乌尔里希,5.0,3.0,0.0,1.633
欧洲机械装置制造业也将受到美国关税升级的冲击,3.5,2.5,0.5,0.866
被吓到是真的挺有同感的,5.6,5.2,1.2,1.6
他现在已经感受到党内外和国内外的各种危险,3.75,4.5,0.433,0.5
他斗来斗去就是要控制局面,4.5,4.0,0.5,2.121
跑到安全地方逍遥快活了,5.667,4.667,1.886,0.943
不知道这样刷推效果如何,5.0,4.333,0.816,0.471
你们又不是贫穷的人,4.5,5.0,0.5,1.0
聊了很多分手后发生的事情,5.0,4.0,0.0,1.414
世界上没有第二个国家如此成就,7.0,6.75,0.0,1.09
你所得到的民主无非是过了一下嘴淫而己,3.4,6.5,0.49,0.5
鸟语花香向来都是让人暇意愉快的美景,6.667,5.0,0.471,0.816
但是鸟的图案则不太适合放在夫妇的睡房,4.0,4.75,0.0,0.829
第一反应就是反抗,4.0,5.333,0.816,2.055
两人都是力改之前政府多年沉珂弊病而务实的人,6.6,4.2,0.49,0.98
真的不太会注意到跟他不那么熟的人,4.4,4.0,0.49,2.0
一种像弹珠掉地板反复弹跳多次的声音,5.0,2.5,0.0,0.5
情绪亦有点燥动,3.5,6.333,0.5,0.943
怎样能更平步青云,4.667,3.667,1.247,1.886
V力让声音不出现异常,6.333,3.667,0.471,2.055
现在关灯躺下闭眼又大声嚎哭出来,2.667,8.333,0.471,0.471
感谢追星路上阿米为防弹及彼此应援,7.0,5.5,0.0,0.866
详细内容将陆续公布,5.4,3.75,0.49,0.433
慢慢听他讲下来听哭了,3.75,4.25,0.433,1.785
发照给她时她一直问我是不是所有人的亲属都到了,4.667,3.667,0.471,2.055
听出她话语的失落,3.6,4.6,0.49,1.855
一直担心累到她,4.0,5.25,0.0,1.299
结果要去丧礼的两人一个还在睡一个出去了,4.0,4.25,0.0,0.829
我没要去只是要准备老爸,5.0,4.0,0.0,0.816
10日接受美国媒体访谈时淡化朝鲜恢复试射行动的意义,4.4,3.75,0.49,0.829
练习等待跟接受,5.667,3.5,0.471,1.118
就是一个严重分裂症患者,4.0,5.333,0.0,0.471
这明显是对匪自己不利才会选择的行为,4.333,4.333,0.943,2.357
认为中国其实知道他一定会赢,5.0,3.0,0.0,2.0
可能被要求遣返大,4.0,4.5,0.0,0.5
顽固的推行加赠关税,3.5,5.25,0.5,0.829
东一榔头西一棒子的到处惹事儿蹭热点,3.333,4.667,0.471,0.471
这样也是变相帮他开口,4.5,6.0,0.5,0.0
而且将阻碍全世界的稳定和繁荣发展,3.0,5.5,0.0,0.5
美中两国贸易摩擦加剧,3.5,5.5,0.5,0.5
如果明年总统选举实现连任,4.0,4.0,0.0,0.0
在我的第二届任期内进行谈判的话,5.0,1.5,0.0,0.5
你有种就坚持下去,4.25,8.0,0.829,0.707
我还是不太能习惯推特不能修改这件事,4.0,5.5,0.0,0.5
冷静理智客观分析事物,5.75,3.2,0.829,1.6
总是选择自己有利的一面,3.667,5.667,0.471,0.471
美国政府加征关税不是解决问题的办法,4.0,6.0,0.0,1.225
美方再度高举关税大棒加剧中美经贸摩擦升级风险,4.5,4.4,0.5,1.744
新浪微博这个中国最大的社交及时平台舆论的监控已经到了发指的地步,2.667,4.333,0.471,0.471
中共已经害怕到了极致,3.0,6.5,1.414,1.803
坦诚地与美方交换意见,6.4,3.75,0.49,0.829
孟晚舟保释案进入第二天听证,4.6,3.75,0.49,0.829
他们是从来不相信双赢结局的,4.0,5.0,0.0,1.673
他们会利用谈判作为手段,4.0,5.0,0.0,0.707
这样的威胁一旦实现就会破坏产业链,3.0,4.75,0.0,0.829
中国会受到极大损失,4.25,5.0,0.829,1.225
讲价值理念无效可以谈经济民生,4.25,4.75,0.829,0.829
记得以前就有看到过谈对捐卵伤害认识不足的文章,5.0,5.0,0.0,0.707
留意一下看看是不是都来自同一家店,5.0,2.667,0.0,0.943
擅自改变产品的存放方式,4.25,3.8,0.433,2.04
完全破坏产品的食用期限,3.333,4.667,0.471,0.471
那还是德国没提防的情况下,4.0,5.0,0.0,0.0
但美国通过军事手段直接或间接地推翻了萨达姆,5.5,6.0,0.5,1.0
米洛舍维奇等独裁政权,4.0,3.2,0.0,1.6
从来都是那些如同中国共畜坑骗,2.0,6.333,0.0,0.471
欺凌本国人民的腐朽政体,2.5,5.75,0.5,0.829
从小我经常觉得现实很无聊,3.667,4.333,0.471,0.471
就变得比较快乐,6.6,4.4,0.49,1.744
菲律宾总统杜特蒂10日称赞中国的经济发展和中国人民的工作态度,6.5,5.0,0.5,0.707
鼓励当地民众学习,7.5,4.4,0.5,1.2
除了去发掘各地整咸鱼特色外,6.0,5.333,0.707,0.471
米德加尔特大陆主要由三个国家分据,5.0,2.667,0.0,1.247
尽管冒险者的足印在各地留下痕迹,5.0,5.333,0.707,0.471
技能和经验获得极大值,7.5,6.5,1.5,1.5
它不会为中国带来什么根本性的变动,3.5,4.0,0.5,1.0
指望贸易战改变中国经济,5.75,5.75,0.433,0.433
觉得中国因此经济会崩溃的,4.0,4.667,0.816,1.247
不是和中国现实太脱节,3.667,4.667,0.471,2.055
可惜军部的人已经疯了,3.6,5.0,0.49,1.414
是不是日本也是一个缺少资源的国家,3.5,3.5,0.5,0.5
中国的使用者真是很惨,3.0,4.333,0.707,0.471
人性卑劣的很多,3.0,4.25,0.707,0.829
所以问题一大堆,3.4,6.0,0.49,0.707
满足不了执法需要,3.4,4.75,0.49,1.09
所以有必要建立一支,5.0,4.25,0.0,2.773
高素质高学历高理解力的有暴力武器,3.0,5.75,0.707,1.785
梳理和处理社会上出现的各种犯罪,5.667,4.0,0.471,0.816
其实我只是卑鄙又自私罢了,2.75,6.0,0.433,0.707
因为我就是个彻头彻尾的烂人,2.0,6.8,0.0,1.6
老师平时比较严格,5.0,4.0,0.0,0.707
平安的柴米油盐小生活,6.667,2.667,0.471,1.247
过去他们很轻松地赚钱,5.667,4.0,1.247,0.816
所以许诺了高福利,6.0,4.25,0.0,0.829
但是现在赚钱难了,2.667,5.667,0.471,0.943
就是有这么多明明更无知却又自大爆棚的人,2.5,5.6,0.5,1.744
母亲节最大的幸福,7.0,5.75,0.0,0.829
我没有让新的生命来受苦,6.5,4.5,0.5,1.5
略带发力的紧张,4.333,3.75,0.471,1.92
沉默是扩充套件,4.333,2.667,0.471,1.7
我会为你的心产生敬意,6.75,4.25,0.829,0.829
共产党盗国贼坏,2.2,7.0,0.98,0.0
歌颂这美丽的5月,7.667,5.667,0.471,0.471
主宰美丽的是心情,6.6,4.0,0.49,1.414
不论是办报纸还是闹革命,4.75,5.25,0.433,1.299
你看敌人都真生气了,3.0,5.5,1.0,0.5
狗老板日复一日让我们小辈无节制加班,2.5,7.0,1.118,0.707
内心骂了几百遍还是默默坐下校稿子,4.667,4.0,0.471,0.816
现在差的是政府,3.5,5.75,0.5,1.785
又如何可以推动社会变革呢,4.0,5.75,0.0,0.829
已经触及到中国文化传统的核心,5.0,4.0,0.0,2.16
不确定能不能破解,4.0,4.333,0.0,0.943
那你得担保你们总统别明天不加税了,5.0,6.0,0.0,0.0
皇宫大院是越来越敏感了,4.5,5.0,0.5,1.0
可能继续活著总会看清,5.667,5.667,0.471,0.471
又或者跳出躯壳才能看到整体,4.5,3.5,0.5,1.5
那些无法尝试两次的,5.0,2.0,0.0,1.0
还真是飞来横祸不砸花花草草专砸我,3.0,6.5,0.0,0.5
所以说果然不宜伤春悲秋吗我靠,3.0,7.667,0.0,0.471
而中方的法律则是如毛泽东说过的,5.0,4.0,0.0,0.0
的故事应该不陌生的吧,5.333,5.0,0.471,0.816
考察队被困住了,3.667,5.667,0.471,1.247
雪崩的时候发生了不幸,3.0,5.75,0.707,0.829
有一位成员牺牲了,2.333,4.667,0.943,2.055
到西方极乐世界逍遥一世,6.5,4.5,0.5,1.803
农民插秧被雷击倒身亡整段过程被拍下,3.5,5.0,0.5,0.707
雷德福和保罗一直策划两人的第三次合作,5.333,3.667,0.471,1.7
这次未成型的合作成为了永久的遗憾,2.5,5.333,0.5,0.471
很兴奋搬到到纽约新的总部地点,7.333,6.333,0.471,2.494
我们被通知由于中国的一个国家购买了大楼,5.0,1.667,0.0,0.471
香港将成为中国的下一个自经区,3.333,4.667,1.247,1.247
会被美国取消关税优待,4.0,2.667,0.0,0.471
不过香港没有错,5.333,5.75,0.471,2.278
乞丐传头就破口大骂,3.333,4.333,0.471,1.247
周日出外遇著游行抗议,4.0,4.667,0.816,1.247
我们不需要这样的英雄,3.667,6.5,0.471,1.118
美国校园枪击案连发两周内两名学生舍身救人,6.5,5.6,0.866,2.154
在毛泽东刚去世时,3.5,6.0,0.5,1.0
北京盛传一个幽默评语,6.0,5.0,1.414,0.816
在历史上的地位,5.0,4.5,0.0,0.5
高峰论坛在京举行期间,5.0,2.75,0.0,0.829
妻子姚敏华被非法拘禁,2.25,3.25,0.433,1.785
导致王扣玛罹患严重肺炎,3.333,4.0,0.471,2.16
原生家庭的桎梏怎么可能那么容易摆脱掉,3.4,6.5,0.49,0.866
最使人疲惫的往往不是道路的遥远,4.0,5.5,1.0,0.5
而是心中的郁闷,3.667,5.333,0.471,0.471
我最常听到支援同婚的异性恋的角度是,5.0,2.0,0.0,1.414
异性恋结婚也不用别人同意,5.6,3.5,0.49,1.118
被文贵诈骗贷款的银行,3.5,4.5,0.5,0.5
被文贵构陷入狱的老伙伴,3.0,3.0,0.0,1.673
而放弃生存的意志,3.0,5.667,0.707,0.471
不难看出像我同样命运的人很多,4.5,2.5,0.5,1.5
以求得到精神上的超然解脱,7.0,6.333,0.707,0.943
寂光院最为著名是院内的日本庭园,6.0,5.0,0.0,0.816
寂光院更显精巧别致,6.4,5.25,0.49,0.829
斯柯达看风景的继续反馈可读性的小组赛随时随地很好的回答你的决定继续舒适度度假酒店不得不服厚度和道德大型活动基督教反对基督教机动车的很多很多很多很好的很多很多很多哈哈哈哈打交,5.0,3.5,0.0,2.5
最高检清理久押不决是在清理违法行为,7.0,6.0,0.0,0.0
而不是说久押不决合法,3.667,5.333,0.471,2.357
但是不能因为立场而卑鄙到颠倒黑白的程度,4.0,7.25,0.707,0.829
另一方面也看到在中共统治下中国人民的愚昧无知,3.4,5.2,0.49,1.939
黑龙江省大庆市萨尔图区法轮功学员丁洪娟女士被萨尔图区开发区法院枉法冤判两年,3.0,5.0,0.0,0.707
并被敲诈勒索三千元钱,3.0,6.25,0.0,0.829
郭文贵今日再造法庭谣言,3.0,4.2,0.0,1.47
崇拜的其实是权力,3.8,6.25,1.47,0.829
肯定S有骂学生,3.5,4.75,0.5,1.92
更不要说讲牢骚话,4.0,6.667,0.0,0.471
贵族青年鲁道夫建造了一座矮小的城堡,5.0,2.25,0.0,1.299
人云算术不及格,3.333,4.667,0.471,0.471
以厌胜之术诅咒教主,3.5,6.0,1.118,0.816
从美国推进贸易谈判的情况看,5.0,2.667,0.0,1.247
并且必须改头换面,5.0,5.5,0.0,0.5
毛病在于太自以为是,3.5,6.0,0.5,0.0
忘记自己半斤八两了,3.0,4.0,0.0,1.414
事实证明每一个中国人都是中共恶行的受害者,2.5,5.75,0.5,1.92
可惜经济实在太没存在感,3.667,3.667,0.471,0.471
不过我不便透漏地点,4.6,5.0,0.49,1.225
阿嬷的味道我也很怀念,6.5,7.5,0.5,0.5
如果有歹人趁机行凶,4.5,5.25,0.5,1.479
致使警员疏于防范,3.4,5.25,0.49,0.829
现线上条有些清晰了,5.5,3.5,0.5,0.5
我一句话不行要推翻重谈,3.5,5.0,0.5,2.0
妈咪厨房重要通知,5.0,4.75,0.0,1.785
故停止所有订单,4.4,3.8,0.49,2.135
萤幕在手掌包围下的部分基本上都是可操控的,5.0,3.5,0.0,1.5
日本秋田犬面临灭绝,2.6,5.25,0.49,0.433
储存一些有用的资讯,6.0,3.5,0.707,1.118
已经于早上修复完成,6.333,4.0,0.471,0.816
开放4个开始使用,5.0,2.25,0.0,1.299
然后迟疑很久才发,4.0,4.0,0.707,1.414
外媒中的官媒都挺认真的,5.667,4.333,1.247,0.471
十分谢谢媒体朋友,7.0,4.25,0.0,1.299
看公开信的革命情怀,6.667,5.667,0.471,1.7
外卖小哥路口违停搀扶老人过马路,6.25,3.4,0.433,1.744
福建南平一位外卖小哥在路口违规停车,3.4,4.0,0.49,1.414
考虑外卖小哥违停实际原因,5.0,2.8,0.0,1.6
但今天就有女生穿粗跟凉鞋参加,5.0,3.333,0.0,2.055
其他日本婆妈小声议论,4.333,5.333,0.471,1.7
当事人倒是跟同伴开开心心的,4.0,6.333,0.0,0.943
系统维护期间将无法登入游戏,4.0,3.2,0.0,1.47
?鱼涌门市都休息一天,4.0,3.5,0.0,1.118
最喜欢号锡不耐烦的时候,6.667,5.0,0.471,0.816
为了庆祝花了一个蛋糕钱,5.5,4.5,0.5,0.866
但至少是愿意听我说话的人,6.0,4.5,0.0,0.5
唠唠叨叨这类事情,4.0,5.0,0.0,1.225
吉他喝多了在狂笑,6.667,6.75,0.471,1.299
喧闹的人都在流浪,4.0,3.6,0.0,2.332
故事因为剧透而让人没兴趣再往下读,3.0,5.0,0.0,0.816
犹豫要不要接著看完剩下的3,5.5,2.0,0.5,1.0
摔笔或是很用力划掉原稿,3.0,7.0,0.0,0.0
我就觉得天啊超尴尬,3.333,7.667,0.471,0.943
她这样划掉也太没礼貌了吧,3.0,6.4,0.0,1.2
不然就安静的看,4.667,3.667,0.471,1.7
梦见自己向别人道歉,4.333,2.25,0.471,1.299
少发表意见免得惹麻烦,3.667,5.0,0.471,1.414
这没风度没肚量的咖?,2.5,6.0,0.5,1.789
不尊重代议士的卖菜蝓,3.0,6.0,0.0,0.707
当宗痛必是效忠支那的魁儡蛆长应声虫,1.667,6.333,0.471,2.494
我他妈的怎么会不懂你,3.333,8.333,1.247,0.471
我拼命跟你道歉寻求解决方法,3.5,6.75,0.5,0.829
竟然连偶的龟孙都敢洗板,3.333,7.0,0.471,0.0
恶意杀价和持有毒品闻名,3.667,5.0,0.471,0.816
会期待别人依照他们的准则做事,5.75,5.75,0.433,0.829
你写个稳定产出的部落格我也算你有,7.0,6.0,0.0,0.0
滑世界超级之大笑话,5.333,6.0,0.943,2.16
谁就是那个低能儿,3.0,6.0,0.0,1.414
一个自称很久以前见过我的人来跟我说话,5.0,2.75,0.0,1.785
能早来当然会早来,5.2,6.25,1.47,0.433
据香港南华早报透露,4.667,2.667,0.471,1.7
而拒绝更多让步的中国国家主席习近平表示自己会负完全责任,4.333,3.667,0.471,1.247
简直是人生恶梦的开端,2.6,6.75,0.49,0.829
我问你该如何达成目的,5.0,6.0,0.0,1.225
我不在乎那些流言蜚言,6.0,2.667,0.0,1.247
然而你依然选择了逃避,3.333,5.0,0.471,1.414
当韩国瑜畅谈要在高雄设定自经区,3.333,6.0,0.471,0.0
断断续续把消灭第四集看完了,5.5,2.5,0.5,1.5
昨天晚上梦见海贼王了,7.0,5.0,0.0,0.0
因为做工很粗糙,3.4,5.25,0.49,0.433
也有能让青年的我有所共鸣的细腻处,6.6,5.4,0.49,1.2
我值得被你这样嫌弃,4.0,6.0,0.0,0.0
每次看到梵谷兄弟相关的文章就很感动,7.0,6.75,0.707,0.829
讲得内容越复杂越长,4.0,4.75,0.0,0.433
到时候您不觉得赞了就不赞了哈哈哈,5.0,5.667,0.816,3.399
现在摸不准少数派哪些文章收费哪些免费,4.5,3.25,0.5,1.92
所以其施政刚猛直接无谋无畏,6.5,6.0,0.5,1.0
只能听谄媚不能听良谋,3.0,4.75,0.0,0.433
只能接受胜利不能接受退守,5.5,6.5,0.866,0.5
懒得和他起冲突,4.667,4.333,0.471,0.471
利益这东西说不准的啊,4.0,6.667,0.0,0.471
为什么不准发有人负责吗,3.5,5.0,0.5,0.0
音准不准我不知道,4.667,3.667,0.471,0.943
那种不屑的调调,3.0,5.333,0.0,0.471
能让电视机前的老乡爽一周,7.0,5.0,0.0,0.0
那么大大多数人还是错误的,3.333,4.0,0.471,2.16
身上透著一股野兽般狂暴的气息,4.667,5.333,0.471,2.494
我知道你是不小心,6.0,5.0,0.0,0.0
则不可得志于天下矣,4.0,4.2,0.0,2.926
我在嘉兴遇到郭大哥和蓉儿,5.0,3.25,0.0,1.92
总有一种不祥的预感,3.5,5.6,0.5,2.417
健康和生活质量,5.4,2.8,0.49,1.47
雨儿便把他解开了,5.6,5.25,0.49,0.433
我看我符不符合,5.0,2.0,0.0,0.816
是不是偷换概念,4.4,4.2,0.49,2.135
既然无法证明那是真理,4.0,5.25,0.0,1.299
第一次读红楼梦时不解为何在讲正篇故事前有那么长一段看似无关的故事,5.0,2.75,0.707,1.299
惟有功名忘不了,4.6,5.25,1.2,1.09
人生的无常与虚华,3.0,4.0,0.707,2.0
美国人顿时呆了!,5.4,7.75,0.49,0.433
不断向著自己的目标前进,7.5,6.0,0.5,0.707
邓屠夫和姚依林那样的共产党领导人才是明白人,6.5,6.0,0.5,2.0
都是本身擅长厨艺的母亲,6.4,5.25,0.49,0.829
我家厨房真的不大,4.0,7.0,0.0,0.0
如果你要把你的孩子当废物养,2.6,7.6,0.49,0.49
会引起他人不适的部位全部遮起来,5.5,5.0,0.5,0.0
东西也吃不下吃不多但是又觉得饿烦恼啊,3.6,6.5,0.49,0.5
可能可以帮助改善消化系统健康,6.6,4.4,0.49,2.059
以增加吸收重要营养素,6.4,3.25,0.49,0.433
垃圾会先会甘心,2.5,4.5,0.5,1.5
闹双胞胎的立法会逃犯条例法案委员会召开,4.667,3.667,0.471,0.943
去找个小帮手去买杯热巧克力或桂圆茶来喝,5.5,3.5,0.5,2.5
注定就是个蠢货,3.5,6.5,0.5,0.5
这样算起来谁更便宜,5.5,5.0,0.5,0.707
觉得自己的身体很老实,6.5,3.2,0.5,1.47
今天起床就感受到活力,7.0,6.75,0.894,0.829
00向所有的母亲们致以衷心的问候,7.0,6.0,0.0,0.816
窝老也事仇女分子,3.6,6.0,0.49,0.707
不过我的主张是女人不应该参与政治而是去岁静,3.5,5.0,0.5,2.236
美国已在该地区发动心理战,5.0,3.0,0.0,1.581
回去奔波办完遇难亲人的丧事,3.333,4.0,0.471,0.707
重光暨安香科仪圆满,6.0,2.0,0.0,0.0
丰富了我的记忆,7.333,5.333,0.471,0.471
中共流氓政权是圣洁天使,4.6,6.5,2.577,0.5
可能我做的东西都很多余,2.667,6.0,0.471,0.707
我不需要那个东西,3.333,6.333,0.471,0.471
做出来的都不一样呵呵,4.0,6.25,0.0,0.829
说来说去只是博同情而已,4.0,5.5,0.0,1.118
的话我们也无法体会到百余年,4.5,3.333,0.5,0.471
那拜托你选上总统之后,5.25,5.8,0.433,2.135
1章咕哒知道真相后的消沉,3.0,2.667,0.0,0.471
火腿肠非常不卫生,3.2,6.5,0.98,0.5
中国平均每六个人就有一个癌症患者,2.667,3.0,0.471,1.633
癌症治疗一个月需要4,5.0,3.0,0.0,1.414
我本来以为羽风薰是梦之?宝贵的硕果仅存的几个直男,4.5,3.5,0.5,2.5
我说什么都要被他们否定,3.0,5.75,0.0,1.92
他一个学历史的竟然符合台湾投机分子郎咸平的黑屁说什么,3.4,7.25,1.356,0.829
请观看完整视讯,5.0,2.333,0.0,1.247
从镇压法轮功开始我就意识到信仰之战一直在进行中,4.5,5.5,0.5,0.5
我发现几个特别有趣的逻辑,6.667,5.333,0.471,0.471
中国传统文化是战胜共产党和专制的法宝,7.0,5.0,0.707,2.121
但借它攻击整个中国的人权是无聊的,3.5,6.0,0.5,1.0
